dataset,feature_set,model_name,k,n_features_used,validation_macro_f1,validation_balanced_accuracy,validation_accuracy,fit_seconds,selected_features
breast_cancer_wisconsin,baseline_rf,random_forest,3,30,0.9248231132075472,0.9248231132075472,0.9294117647058824,0.24914404843002558,
breast_cancer_wisconsin,mrmr_approx,random_forest,3,3,0.9238351254480286,0.9186320754716981,0.9294117647058824,0.29620507545769215,concave_points_worst|smoothness_se|texture_worst
breast_cancer_wisconsin,qfs_na_top_density,random_forest,3,3,0.9128205128205129,0.9153891509433962,0.9176470588235294,0.28822557255625725,area_worst|concavity_mean|perimeter_mean
breast_cancer_wisconsin,baseline_rf,random_forest,5,30,0.9248231132075472,0.9248231132075472,0.9294117647058824,0.24914404843002558,
breast_cancer_wisconsin,mrmr_approx,random_forest,5,5,0.9626373626373627,0.9655070754716981,0.9647058823529412,0.2563732983544469,concave_points_worst|smoothness_se|texture_worst|concave_points_mean|radius_worst
breast_cancer_wisconsin,qfs_na_top_density,random_forest,5,5,0.9498820754716981,0.9498820754716981,0.9529411764705882,0.22166693396866322,area_worst|concavity_mean|perimeter_mean|texture_worst|concave_points_worst
breast_cancer_wisconsin,baseline_rf,random_forest,10,30,0.9248231132075472,0.9248231132075472,0.9294117647058824,0.24914404843002558,
breast_cancer_wisconsin,mrmr_approx,random_forest,10,10,0.9256993006993006,0.9310141509433962,0.9294117647058824,0.2418683161959052,concave_points_worst|smoothness_se|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|fractal_dimension_se|perimeter_worst|texture_se
breast_cancer_wisconsin,qfs_na_top_density,random_forest,10,10,0.9377289377289377,0.9404481132075472,0.9411764705882353,0.27122293040156364,area_worst|concavity_mean|perimeter_mean|texture_worst|concave_points_worst|symmetry_worst|concave_points_mean|fractal_dimension_worst|smoothness_worst|fractal_dimension_se
breast_cancer_wisconsin,baseline_rf,random_forest,15,30,0.9248231132075472,0.9248231132075472,0.9294117647058824,0.24914404843002558,
breast_cancer_wisconsin,mrmr_approx,random_forest,15,15,0.9377289377289377,0.9404481132075472,0.9411764705882353,0.22465952765196562,concave_points_worst|smoothness_se|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|fractal_dimension_se|perimeter_worst|texture_se|concavity_mean|perimeter_mean|symmetry_se|smoothness_worst|area_worst
breast_cancer_wisconsin,qfs_na_top_density,random_forest,15,15,0.9377289377289377,0.9404481132075472,0.9411764705882353,0.26072671730071306,area_worst|concavity_mean|perimeter_mean|texture_worst|concave_points_worst|symmetry_worst|concave_points_mean|fractal_dimension_worst|smoothness_worst|fractal_dimension_se|texture_mean|smoothness_se|radius_mean|symmetry_mean|symmetry_se
breast_cancer_wisconsin,baseline_rf,random_forest,20,30,0.9248231132075472,0.9248231132075472,0.9294117647058824,0.24914404843002558,
breast_cancer_wisconsin,mrmr_approx,random_forest,20,20,0.9256993006993006,0.9310141509433962,0.9294117647058824,0.2558217952027917,concave_points_worst|smoothness_se|texture_worst|concave_points_mean|radius_worst|symmetry_worst|radius_mean|fractal_dimension_se|perimeter_worst|texture_se|concavity_mean|perimeter_mean|symmetry_se|smoothness_worst|area_worst|texture_mean|concavity_worst|area_mean|fractal_dimension_worst|symmetry_mean
breast_cancer_wisconsin,qfs_na_top_density,random_forest,20,20,0.9498820754716981,0.9498820754716981,0.9529411764705882,0.2564134104177356,area_worst|concavity_mean|perimeter_mean|texture_worst|concave_points_worst|symmetry_worst|concave_points_mean|fractal_dimension_worst|smoothness_worst|fractal_dimension_se|texture_mean|smoothness_se|radius_mean|symmetry_mean|symmetry_se|concavity_worst|area_mean|texture_se|radius_worst|perimeter_worst
customer_churn,baseline_rf,random_forest,1,10,0.9918088962271454,0.9928767976710334,0.9919395085066163,1.0448929714038968,
customer_churn,mrmr_approx,random_forest,1,1,0.7686373156506456,0.7849671033478893,0.768695652173913,1.2969460617750883,support_calls
customer_churn,qfs_na_top_density,random_forest,1,1,0.7686373156506456,0.7849671033478893,0.768695652173913,1.2751756915822625,support_calls
customer_churn,baseline_rf,random_forest,4,10,0.9918088962271454,0.9928767976710334,0.9919395085066163,1.0448929714038968,
customer_churn,mrmr_approx,random_forest,4,4,0.9200511656104092,0.9289052110625909,0.9203478260869565,0.847964821383357,support_calls|subscription_type_Standard|total_spend|payment_delay
customer_churn,qfs_na_top_density,random_forest,4,4,0.873462907860141,0.8872719650655022,0.8734971644612476,0.9459726754575968,support_calls|total_spend|gender_Female|gender_Male
customer_churn,baseline_rf,random_forest,5,10,0.9918088962271454,0.9928767976710334,0.9919395085066163,1.0448929714038968,
customer_churn,mrmr_approx,random_forest,5,5,0.969362190493098,0.9732634643377001,0.9696937618147448,0.7848871443420649,support_calls|subscription_type_Standard|total_spend|payment_delay|age
customer_churn,qfs_na_top_density,random_forest,5,5,0.8737131470771735,0.8873167394468704,0.8737542533081285,0.9994175415486097,support_calls|total_spend|gender_Female|gender_Male|subscription_type_Basic
customer_churn,baseline_rf,random_forest,10,10,0.9918088962271454,0.9928767976710334,0.9919395085066163,1.0448929714038968,
customer_churn,mrmr_approx,random_forest,10,10,0.9936348186597311,0.9944717321688501,0.9937391304347826,0.9767451584339142,support_calls|subscription_type_Standard|total_spend|payment_delay|age|contract_length_Monthly|tenure|usage_frequency|gender_Female|last_interaction
customer_churn,qfs_na_top_density,random_forest,10,10,0.943274227616182,0.9502313245997089,0.9436219281663516,1.0466554192826152,support_calls|total_spend|gender_Female|gender_Male|subscription_type_Basic|contract_length_Annual|subscription_type_Premium|subscription_type_Standard|age|tenure
customer_churn,baseline_rf,random_forest,15,10,0.9918088962271454,0.9928767976710334,0.9919395085066163,1.0448929714038968,
customer_churn,mrmr_approx,random_forest,15,15,0.9907798530135252,0.991880116448326,0.9909262759924385,1.1499288873746991,support_calls|subscription_type_Standard|total_spend|payment_delay|age|contract_length_Monthly|tenure|usage_frequency|gender_Female|last_interaction|contract_length_Quarterly|subscription_type_Premium|subscription_type_Basic|contract_length_Annual|gender_Male
customer_churn,qfs_na_top_density,random_forest,15,15,0.9907496203485104,0.9918782532751091,0.9908960302457467,1.0942034851759672,support_calls|total_spend|gender_Female|gender_Male|subscription_type_Basic|contract_length_Annual|subscription_type_Premium|subscription_type_Standard|age|tenure|usage_frequency|payment_delay|last_interaction|contract_length_Monthly|contract_length_Quarterly
madelon,baseline_rf,random_forest,5,500,0.5265825035561877,0.5266666666666666,0.5266666666666666,0.2056913049891591,
madelon,mrmr_approx,random_forest,5,5,0.5266456286946086,0.5266666666666666,0.5266666666666666,0.2923863045871258,feat_241|feat_43|feat_311|feat_154|feat_139
madelon,qfs_na_top_density,random_forest,5,5,0.5532539118065434,0.5533333333333333,0.5533333333333333,0.2697173282504082,feat_241|feat_346|feat_295|feat_43|feat_42
madelon,baseline_rf,random_forest,10,500,0.5265825035561877,0.5266666666666666,0.5266666666666666,0.2056913049891591,
madelon,mrmr_approx,random_forest,10,10,0.5295766189570613,0.53,0.53,0.29563636239618063,feat_241|feat_43|feat_311|feat_154|feat_139|feat_31|feat_205|feat_147|feat_368|feat_459
madelon,qfs_na_top_density,random_forest,10,10,0.5565434843011947,0.5566666666666666,0.5566666666666666,0.2790175024420023,feat_241|feat_346|feat_295|feat_43|feat_42|feat_85|feat_211|feat_147|feat_431|feat_368
madelon,baseline_rf,random_forest,15,500,0.5265825035561877,0.5266666666666666,0.5266666666666666,0.2056913049891591,
madelon,mrmr_approx,random_forest,15,15,0.5499949999444438,0.55,0.55,0.2717346018180251,feat_241|feat_43|feat_311|feat_154|feat_139|feat_31|feat_205|feat_147|feat_368|feat_459|feat_30|feat_346|feat_211|feat_486|feat_295
madelon,qfs_na_top_density,random_forest,15,15,0.5357949928198507,0.5366666666666666,0.5366666666666666,0.2686151470988989,feat_241|feat_346|feat_295|feat_43|feat_42|feat_85|feat_211|feat_147|feat_431|feat_368|feat_31|feat_154|feat_30|feat_66|feat_311
madelon,baseline_rf,random_forest,20,500,0.5265825035561877,0.5266666666666666,0.5266666666666666,0.2056913049891591,
madelon,mrmr_approx,random_forest,20,20,0.565720903300521,0.5666666666666667,0.5666666666666667,0.30352120008319616,feat_241|feat_43|feat_311|feat_154|feat_139|feat_31|feat_205|feat_147|feat_368|feat_459|feat_30|feat_346|feat_211|feat_486|feat_295|feat_66|feat_431|feat_75|feat_85|feat_42
madelon,qfs_na_top_density,random_forest,20,20,0.5256336020667232,0.5266666666666666,0.5266666666666666,0.2712225569412112,feat_241|feat_346|feat_295|feat_43|feat_42|feat_85|feat_211|feat_147|feat_431|feat_368|feat_31|feat_154|feat_30|feat_66|feat_311|feat_459|feat_139|feat_205|feat_75|feat_486
olive_oil_3class,baseline_rf,random_forest,3,8,0.9888810586485005,0.9848484848484849,0.9883720930232558,0.2527397684752941,
olive_oil_3class,mrmr_approx,random_forest,3,3,1.0,1.0,1.0,0.20865897927433252,other|linolenic|eicosenoic
olive_oil_3class,qfs_na_top_density,random_forest,3,3,1.0,1.0,1.0,0.272018913179636,other|linolenic|eicosenoic
olive_oil_3class,baseline_rf,random_forest,5,8,0.9888810586485005,0.9848484848484849,0.9883720930232558,0.2527397684752941,
olive_oil_3class,mrmr_approx,random_forest,5,5,1.0,1.0,1.0,0.2634625928476453,other|linolenic|eicosenoic|stearic|arachidic
olive_oil_3class,qfs_na_top_density,random_forest,5,5,1.0,1.0,1.0,0.2686639130115509,other|linolenic|eicosenoic|stearic|arachidic
olive_oil_3class,baseline_rf,random_forest,8,8,0.9888810586485005,0.9848484848484849,0.9883720930232558,0.2527397684752941,
olive_oil_3class,mrmr_approx,random_forest,8,8,0.9888810586485005,0.9848484848484849,0.9883720930232558,0.26497684605419636,other|linolenic|eicosenoic|stearic|arachidic|oleic|linoleic|palmitoleic
olive_oil_3class,qfs_na_top_density,random_forest,8,8,1.0,1.0,1.0,0.26807297114282846,other|linolenic|eicosenoic|stearic|arachidic|linoleic|palmitoleic|oleic
olive_oil_9class,baseline_rf,random_forest,3,8,0.9133234231273446,0.9122574955908289,0.9418604651162791,0.3122060103341937,
olive_oil_9class,mrmr_approx,random_forest,3,3,0.8340759422726636,0.8385674460943279,0.8837209302325582,0.25556242279708385,linolenic|other|eicosenoic
olive_oil_9class,qfs_na_top_density,random_forest,3,3,0.8569987243295276,0.859290550150765,0.8953488372093024,0.2688745604828,other|linolenic|linoleic
olive_oil_9class,baseline_rf,random_forest,5,8,0.9133234231273446,0.9122574955908289,0.9418604651162791,0.3122060103341937,
olive_oil_9class,mrmr_approx,random_forest,5,5,0.904359837693171,0.9069664902998237,0.9418604651162791,0.23988752998411655,linolenic|other|eicosenoic|stearic|arachidic
olive_oil_9class,qfs_na_top_density,random_forest,5,5,0.9181657848324514,0.9096119929453264,0.9418604651162791,0.1967225018888712,other|linolenic|linoleic|arachidic|palmitoleic
olive_oil_9class,baseline_rf,random_forest,8,8,0.9133234231273446,0.9122574955908289,0.9418604651162791,0.3122060103341937,
olive_oil_9class,mrmr_approx,random_forest,8,8,0.9133234231273446,0.9122574955908289,0.9418604651162791,0.2673940882086754,linolenic|other|eicosenoic|stearic|arachidic|linoleic|oleic|palmitoleic
olive_oil_9class,qfs_na_top_density,random_forest,8,8,0.9165034789389794,0.9060846560846562,0.9418604651162791,0.22249505668878555,other|linolenic|linoleic|arachidic|palmitoleic|eicosenoic|stearic|oleic
