dataset,beta,shots,qfs_n,k_budget,elapsed_seconds,dist_ratio_rydberg,cost_f,count,bitstring,selected_features,density__palmitoleic,density__stearic,density__oleic,density__linoleic,density__linolenic,density__arachidic,density__eicosenoic,density__other
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,0.14129254638951938,1,01001001,stearic|linolenic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,0.328653010680241,37,00011001,linoleic|linolenic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,0.5847406525109224,1,01101001,stearic|oleic|linolenic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,0.6486288224688346,1,10101001,palmitoleic|oleic|linolenic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,0.8028679921139452,12,00111001,oleic|linoleic|linolenic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,0.9960174173251051,21,01001101,stearic|linolenic|arachidic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,0.9978539281157863,2,01001011,stearic|linolenic|eicosenoic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.0639875123812177,1,10001011,palmitoleic|linolenic|eicosenoic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.1485902104993657,5,10001101,palmitoleic|linolenic|arachidic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.1954534358547866,1,01011000,stearic|linoleic|linolenic,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.2840846722797774,149,00011101,linoleic|linolenic|arachidic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.2956404750919857,48,00011011,linoleic|linolenic|eicosenoic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.3628891215614298,1,01110001,stearic|oleic|linoleic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.6653455680856188,1,01111000,stearic|oleic|linoleic|linolenic,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.7965454791832596,2,10011100,palmitoleic|linoleic|linolenic|arachidic,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.866039976064694,8,01011100,stearic|linoleic|linolenic|arachidic,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.9719337743353982,8,00111101,oleic|linoleic|linolenic|arachidic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,1.9778072988923112,4,01011010,stearic|linoleic|linolenic|eicosenoic,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,2.1499125278247346,342,10011001,palmitoleic|linoleic|linolenic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
olive_oil_9class,0.5,10000,8,5,55.03709009755403,0.7071067811865475,2.178673698385966,355,01011001,stearic|linoleic|linolenic|other,0.351,0.395,0.024,0.968,0.999,0.193,0.055,0.984
